ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97989505561e-37,5.11858970747e-37,2.3266316852e-37,1.62864217964e-37,6.97989505561e-38,6.97989505561e-38,2.3266316852e-37,6.97989505561e-38,6.97989505561e-38,6.97989505561e-38,6.97989505561e-38,6.97989505561e-38,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66237647681e-38,1.21907608299e-38,5.54125492271e-39,3.87887844588e-39,1.66237647681e-39,1.66237647681e-39,5.54125492271e-39,1.66237647681e-39,1.66237647681e-39,1.66237647681e-39,1.66237647681e-39,1.66237647681e-39,0.0,0.0,0.0
23,33,4.555199,-74.107463,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45552085432e-37,3.26738195983e-37,1.48517361811e-37,1.03962153267e-37,4.45552085432e-38,4.45552085432e-38,1.48517361811e-37,4.45552085432e-38,4.45552085432e-38,4.45552085432e-38,4.45552085432e-38,4.45552085432e-38,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48658045448e-37,1.85950957573e-37,1.62707087876e-37,1.16219348483e-37,1.16219348483e-37,4.6487739393e-37,2.32438696966e-37,1.85950957573e-37,1.85950957573e-37,1.62707087876e-37,1.62707087876e-37,0.0,0.0
35,36,4.66842577464,-74.0797136427,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74263751765e-37,3.74263751765e-37,1.3366562563e-36,8.01993753783e-37,5.34662502523e-37,4.81196252267e-37,5.34662502523e-37,5.34662502523e-37,5.34662502523e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43300393816e-38,3.25086955465e-38,1.47766797939e-38,1.03436758557e-38,4.43300393816e-39,4.43300393816e-39,1.47766797939e-38,4.43300393816e-39,4.43300393816e-39,4.43300393816e-39,4.43300393816e-39,4.43300393816e-39,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78046948263e-37,4.97234428727e-37,2.26015649421e-37,1.58210954594e-37,6.78046948263e-38,6.78046948263e-38,2.26015649421e-37,6.78046948263e-38,6.78046948263e-38,6.78046948263e-38,6.78046948263e-38,6.78046948263e-38,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43815216598e-38,1.78797825506e-38,8.12717388662e-39,5.6890217206e-39,2.43815216598e-39,2.43815216598e-39,8.12717388662e-39,2.43815216598e-39,2.43815216598e-39,2.43815216598e-39,2.43815216598e-39,2.43815216598e-39,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37698800949e-38,1.7431245403e-38,7.923293365e-39,5.54630535547e-39,2.37698800949e-39,2.37698800949e-39,7.923293365e-39,2.37698800949e-39,2.37698800949e-39,2.37698800949e-39,2.37698800949e-39,2.37698800949e-39,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40372185886e-37,1.40372185886e-37,5.01329235306e-37,3.00797541184e-37,2.00531694123e-37,1.8047852471e-37,2.00531694123e-37,2.00531694123e-37,2.00531694123e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61493534085e-37,1.39463218179e-37,1.22030315907e-37,8.71645113617e-38,8.71645113617e-38,3.48658045447e-37,1.74329022723e-37,1.39463218179e-37,1.39463218179e-37,1.22030315907e-37,1.22030315907e-37,0.0,0.0
28,31,4.60476388889,-74.1292583333,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29052195479e-37,2.41304943352e-37,1.0968406516e-37,7.67788456121e-38,3.29052195479e-38,3.29052195479e-38,1.0968406516e-37,3.29052195479e-38,3.29052195479e-38,3.29052195479e-38,3.29052195479e-38,3.29052195479e-38,0.0,0.0,0.0
46,39,4.765185,-74.050677,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99339132728e-38,1.99339132728e-38,7.11925474028e-38,4.27155284416e-38,2.84770189611e-38,2.5629317065e-38,2.84770189611e-38,2.84770189611e-38,2.84770189611e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39597901113e-37,1.39597901113e-37,4.98563932548e-37,2.99138359528e-37,1.99425573019e-37,1.79483015716e-37,1.99425573019e-37,1.99425573019e-37,1.99425573019e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.57897,-74.100491,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62989724487e-37,4.62989724487e-37,1.65353473032e-36,9.92120838191e-37,6.61413892129e-37,5.95272502917e-37,6.61413892129e-37,6.61413892129e-37,6.61413892129e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,29,4.56237230738,-74.1398613854,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96164668249e-38,2.90520756716e-38,1.32054889416e-38,9.24384225913e-39,3.96164668249e-39,3.96164668249e-39,1.32054889416e-38,3.96164668249e-39,3.96164668249e-39,3.96164668249e-39,3.96164668249e-39,3.96164668249e-39,0.0,0.0,0.0
30,28,4.61711111111,-74.153775,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47845898819e-37,5.48420325802e-37,2.49281966273e-37,1.74497376391e-37,7.47845898819e-38,7.47845898819e-38,2.49281966273e-37,7.47845898819e-38,7.47845898819e-38,7.47845898819e-38,7.47845898819e-38,7.47845898819e-38,0.0,0.0,0.0
16,33,4.497642,-74.104481,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05157483238e-38,2.05157483238e-38,7.32705297276e-38,4.39623178367e-38,2.93082118911e-38,2.6377390702e-38,2.93082118911e-38,2.93082118911e-38,2.93082118911e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,37,4.61116932885,-74.0758969555,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97702292074e-37,5.84981680852e-37,2.65900764024e-37,1.86130534817e-37,7.97702292074e-38,7.97702292074e-38,2.65900764024e-37,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,0.0,0.0,0.0
19,32,4.52370994142,-74.1191972402,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54310568832e-38,6.26494417144e-38,2.84770189611e-38,1.99339132728e-38,8.54310568832e-39,8.54310568832e-39,2.84770189611e-38,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,0.0,0.0,0.0
38,41,4.69470667421,-74.0327357742,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54310568832e-38,6.26494417144e-38,2.84770189611e-38,1.99339132728e-38,8.54310568832e-39,8.54310568832e-39,2.84770189611e-38,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,8.54310568832e-39,0.0,0.0,0.0
31,38,4.628453,-74.067191,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99339132728e-38,1.99339132728e-38,7.11925474028e-38,4.27155284416e-38,2.84770189611e-38,2.5629317065e-38,2.84770189611e-38,2.84770189611e-38,2.84770189611e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33,4.589264,-74.108831,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20907696403e-35,8.86656440289e-36,4.03025654676e-36,2.82117958273e-36,1.20907696403e-36,1.20907696403e-36,4.03025654676e-36,1.20907696403e-36,1.20907696403e-36,1.20907696403e-36,1.20907696403e-36,1.20907696403e-36,0.0,0.0,0.0
31,28,4.62567777778,-74.1520555556,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97702292074e-37,5.84981680852e-37,2.65900764024e-37,1.86130534817e-37,7.97702292074e-38,7.97702292074e-38,2.65900764024e-37,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,0.0,0.0,0.0
24,36,4.57139776271,-74.0798491427,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58966031433e-37,2.63241756384e-37,1.19655343811e-37,8.37587406677e-38,3.58966031433e-38,3.58966031433e-38,1.19655343811e-37,3.58966031433e-38,3.58966031433e-38,3.58966031433e-38,3.58966031433e-38,3.58966031433e-38,0.0,0.0,0.0
30,31,4.617334,-74.121506,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98276719056e-36,4.38736260641e-36,1.99425573019e-36,1.39597901113e-36,5.98276719056e-37,5.98276719056e-37,1.99425573019e-36,5.98276719056e-37,5.98276719056e-37,5.98276719056e-37,5.98276719056e-37,5.98276719056e-37,0.0,0.0,0.0
29,36,4.61099789725,-74.08308791,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97702292074e-37,5.84981680852e-37,2.65900764024e-37,1.86130534817e-37,7.97702292074e-38,7.97702292074e-38,2.65900764024e-37,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,7.97702292074e-38,0.0,0.0,0.0
26,34,4.58492442784,-74.1009061919,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61493534085e-37,1.39463218179e-37,1.22030315907e-37,8.71645113617e-38,8.71645113617e-38,3.48658045447e-37,1.74329022723e-37,1.39463218179e-37,1.39463218179e-37,1.22030315907e-37,1.22030315907e-37,0.0,0.0
35,36,4.66860471322,-74.0804713063,ALD2,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72035034119e-37,4.9282569169e-37,2.2401167804e-37,1.56808174628e-37,6.72035034119e-38,6.72035034119e-38,2.2401167804e-37,6.72035034119e-38,6.72035034119e-38,6.72035034119e-38,6.72035034119e-38,6.72035034119e-38,0.0,0.0,0.0
