ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23323301722e-30,9.04370879302e-31,4.11077672408e-31,2.87754370686e-31,1.23323301722e-31,1.23323301722e-31,4.11077672408e-31,1.23323301722e-31,1.23323301722e-31,1.23323301722e-31,1.23323301722e-31,1.23323301722e-31,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93714667903e-32,2.15390756462e-32,9.79048893012e-33,6.85334225106e-33,2.93714667903e-33,2.93714667903e-33,9.79048893012e-33,2.93714667903e-33,2.93714667903e-33,2.93714667903e-33,2.93714667903e-33,2.93714667903e-33,0.0,0.0,0.0
23,33,4.555199,-74.107463,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87217484317e-31,5.77292821832e-31,2.62405828106e-31,1.83684079674e-31,7.87217484317e-32,7.87217484317e-32,2.62405828106e-31,7.87217484317e-32,7.87217484317e-32,7.87217484317e-32,7.87217484317e-32,7.87217484317e-32,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16021601961e-31,3.2854485438e-31,2.87476747582e-31,2.05340533987e-31,2.05340533987e-31,8.21362135947e-31,4.10681067974e-31,3.2854485438e-31,3.2854485438e-31,2.87476747582e-31,2.87476747582e-31,0.0,0.0
35,36,4.66842577464,-74.0797136427,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6126268683e-31,6.6126268683e-31,2.36165245296e-30,1.41699147178e-30,9.4466098119e-31,8.50194883063e-31,9.4466098119e-31,9.4466098119e-31,9.4466098119e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83239114409e-32,5.74375350567e-32,2.61079704803e-32,1.82755793362e-32,7.83239114409e-33,7.83239114409e-33,2.61079704803e-32,7.83239114409e-33,7.83239114409e-33,7.83239114409e-33,7.83239114409e-33,7.83239114409e-33,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19799778817e-30,8.78531711325e-31,3.99332596055e-31,2.79532817238e-31,1.19799778817e-31,1.19799778817e-31,3.99332596055e-31,1.19799778817e-31,1.19799778817e-31,1.19799778817e-31,1.19799778817e-31,1.19799778817e-31,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30781512924e-32,3.15906442811e-32,1.43593837642e-32,1.00515686348e-32,4.30781512924e-33,4.30781512924e-33,1.43593837642e-32,4.30781512924e-33,4.30781512924e-33,4.30781512924e-33,4.30781512924e-33,4.30781512924e-33,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19974809291e-32,3.07981526814e-32,1.39991603097e-32,9.79941221677e-33,4.19974809291e-33,4.19974809291e-33,1.39991603097e-32,4.19974809291e-33,4.19974809291e-33,4.19974809291e-33,4.19974809291e-33,4.19974809291e-33,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48014637692e-31,2.48014637692e-31,8.85766563184e-31,5.31459937911e-31,3.54306625274e-31,3.18875962746e-31,3.54306625274e-31,3.54306625274e-31,3.54306625274e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62016201469e-31,2.46408640783e-31,2.15607560686e-31,1.5400540049e-31,1.5400540049e-31,6.16021601959e-31,3.08010800979e-31,2.46408640783e-31,2.46408640783e-31,2.15607560686e-31,2.15607560686e-31,0.0,0.0
28,31,4.60476388889,-74.1292583333,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8138127955e-31,4.2634627167e-31,1.9379375985e-31,1.35655631895e-31,5.8138127955e-32,5.8138127955e-32,1.9379375985e-31,5.8138127955e-32,5.8138127955e-32,5.8138127955e-32,5.8138127955e-32,5.8138127955e-32,0.0,0.0,0.0
46,39,4.765185,-74.050677,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52199564816e-32,3.52199564816e-32,1.25785558863e-31,7.54713353177e-32,5.03142235451e-32,4.52828011906e-32,5.03142235451e-32,5.03142235451e-32,5.03142235451e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46646603446e-31,2.46646603446e-31,8.80880726596e-31,5.28528435956e-31,3.52352290638e-31,3.17117061573e-31,3.52352290638e-31,3.52352290638e-31,3.52352290638e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.57897,-74.100491,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18026933534e-31,8.18026933534e-31,2.92152476264e-30,1.75291485758e-30,1.16860990506e-30,1.05174891455e-30,1.16860990506e-30,1.16860990506e-30,1.16860990506e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,29,4.56237230738,-74.1398613854,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99958015485e-32,5.13302544689e-32,2.33319338495e-32,1.63323536946e-32,6.99958015485e-33,6.99958015485e-33,2.33319338495e-32,6.99958015485e-33,6.99958015485e-33,6.99958015485e-33,6.99958015485e-33,6.99958015485e-33,0.0,0.0,0.0
30,28,4.61711111111,-74.153775,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32132108989e-30,9.68968799255e-31,4.40440363296e-31,3.08308254307e-31,1.32132108989e-31,1.32132108989e-31,4.40440363296e-31,1.32132108989e-31,1.32132108989e-31,1.32132108989e-31,1.32132108989e-31,1.32132108989e-31,0.0,0.0,0.0
16,33,4.497642,-74.104481,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62479636218e-32,3.62479636218e-32,1.29457012935e-31,7.7674207761e-32,5.1782805174e-32,4.66045246566e-32,5.1782805174e-32,5.1782805174e-32,5.1782805174e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,37,4.61116932885,-74.0758969555,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40940916255e-30,1.0335667192e-30,4.69803054181e-31,3.28862137927e-31,1.40940916255e-31,1.40940916255e-31,4.69803054181e-31,1.40940916255e-31,1.40940916255e-31,1.40940916255e-31,1.40940916255e-31,1.40940916255e-31,0.0,0.0,0.0
19,32,4.52370994142,-74.1191972402,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50942670635e-31,1.10691291799e-31,5.03142235451e-32,3.52199564816e-32,1.50942670635e-32,1.50942670635e-32,5.03142235451e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,0.0,0.0,0.0
38,41,4.69470667421,-74.0327357742,ALDX,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50942670635e-31,1.10691291799e-31,5.03142235451e-32,3.52199564816e-32,1.50942670635e-32,1.50942670635e-32,5.03142235451e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,1.50942670635e-32,0.0,0.0,0.0
