ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0206682273392,0.0151567000488,0.00688940911306,0.00482258637914,0.00206682273392,0.00206682273392,0.00688940911306,0.00206682273392,0.00206682273392,0.00206682273392,0.00206682273392,0.00206682273392,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000303540432828,0.000222596317408,0.000101180144276,7.08261009933e-05,3.03540432828e-05,3.03540432828e-05,0.000101180144276,3.03540432828e-05,3.03540432828e-05,3.03540432828e-05,3.03540432828e-05,3.03540432828e-05,0.0,0.0,0.0
23,33,4.555199,-74.107463,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131932811594,0.00967507285022,0.00439776038647,0.00307843227053,0.00131932811594,0.00131932811594,0.00439776038647,0.00131932811594,0.00131932811594,0.00131932811594,0.00131932811594,0.00131932811594,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101360059932,0.00540586986303,0.00473013613017,0.00337866866439,0.00337866866439,0.0135146746576,0.00675733732878,0.00540586986303,0.00540586986303,0.00473013613017,0.00473013613017,0.0,0.0
35,36,4.66842577464,-74.0797136427,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110823561739,0.0110823561739,0.0395798434781,0.0237479060869,0.0158319373913,0.0142487436521,0.0158319373913,0.0158319373913,0.0158319373913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000809441154208,0.000593590179753,0.000269813718069,0.000188869602649,8.09441154208e-05,8.09441154208e-05,0.000269813718069,8.09441154208e-05,8.09441154208e-05,8.09441154208e-05,8.09441154208e-05,8.09441154208e-05,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200777065581,0.0147236514759,0.00669256885269,0.00468479819689,0.00200777065581,0.00200777065581,0.00669256885269,0.00200777065581,0.00200777065581,0.00200777065581,0.00200777065581,0.00200777065581,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000445192634814,0.000326474598864,0.000148397544938,0.000103878281457,4.45192634814e-05,4.45192634814e-05,0.000148397544938,4.45192634814e-05,4.45192634814e-05,4.45192634814e-05,4.45192634814e-05,4.45192634814e-05,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000434024409811,0.000318284567194,0.00014467480327,0.000101272362289,4.34024409811e-05,4.34024409811e-05,0.00014467480327,4.34024409811e-05,4.34024409811e-05,4.34024409811e-05,4.34024409811e-05,4.34024409811e-05,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00399888834119,0.00399888834119,0.0142817440756,0.00856904644539,0.00571269763025,0.00514142786722,0.00571269763025,0.00571269763025,0.00571269763025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00760200449489,0.00405440239728,0.00354760209761,0.00253400149829,0.00253400149829,0.0101360059932,0.00506800299658,0.00405440239728,0.00405440239728,0.00354760209761,0.00354760209761,0.0,0.0
28,31,4.60476388889,-74.1292583333,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00974359288847,0.00714530145156,0.00324786429617,0.00227350500731,0.000974359288847,0.000974359288847,0.00324786429617,0.000974359288847,0.000974359288847,0.000974359288847,0.000974359288847,0.000974359288847,0.0,0.0,0.0
46,39,4.765185,-74.050677,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363981850514,0.000363981850514,0.00129993518041,0.000779961108244,0.000519974072164,0.000467976664947,0.000519974072164,0.000519974072164,0.000519974072164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413364546783,0.00413364546783,0.014763019528,0.00885781171681,0.00590520781119,0.00531468703008,0.00590520781119,0.00590520781119,0.00590520781119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.57897,-74.100491,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000877904790597,0.000877904790597,0.00313537425214,0.00188122455128,0.00125414970085,0.00112873473077,0.00125414970085,0.00125414970085,0.00125414970085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,29,4.56237230738,-74.1398613854,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000723374016353,0.000530474278658,0.000241124672117,0.000168787270482,7.23374016353e-05,7.23374016353e-05,0.000241124672117,7.23374016353e-05,7.23374016353e-05,7.23374016353e-05,7.23374016353e-05,7.23374016353e-05,0.0,0.0,0.0
30,28,4.61711111111,-74.153775,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022144529292,0.0162393214808,0.007381509764,0.00516705683481,0.0022144529292,0.0022144529292,0.007381509764,0.0022144529292,0.0022144529292,0.0022144529292,0.0022144529292,0.0022144529292,0.0,0.0,0.0
16,33,4.497642,-74.104481,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000374605825628,0.000374605825628,0.00133787794868,0.000802726769206,0.000535151179469,0.000481636061522,0.000535151179469,0.000535151179469,0.000535151179469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,37,4.61116932885,-74.0758969555,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236208312447,0.0173219429128,0.00787361041492,0.00551152729044,0.00236208312447,0.00236208312447,0.00787361041492,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.0,0.0,0.0
19,32,4.52370994142,-74.1191972402,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155992221649,0.00114394295876,0.000519974072164,0.000363981850514,0.000155992221649,0.000155992221649,0.000519974072164,0.000155992221649,0.000155992221649,0.000155992221649,0.000155992221649,0.000155992221649,0.0,0.0,0.0
38,41,4.69470667421,-74.0327357742,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155992221649,0.00114394295876,0.000519974072164,0.000363981850514,0.000155992221649,0.000155992221649,0.000519974072164,0.000155992221649,0.000155992221649,0.000155992221649,0.000155992221649,0.000155992221649,0.0,0.0,0.0
31,38,4.628453,-74.067191,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363981850514,0.000363981850514,0.00129993518041,0.000779961108244,0.000519974072164,0.000467976664947,0.000519974072164,0.000519974072164,0.000519974072164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,33,4.589264,-74.108831,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024025296626,0.0176185508591,0.00800843220867,0.00560590254608,0.0024025296626,0.0024025296626,0.00800843220867,0.0024025296626,0.0024025296626,0.0024025296626,0.0024025296626,0.0024025296626,0.0,0.0,0.0
31,28,4.62567777778,-74.1520555556,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236208312447,0.0173219429128,0.00787361041492,0.00551152729044,0.00236208312447,0.00236208312447,0.00787361041492,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.0,0.0,0.0
24,36,4.57139776271,-74.0798491427,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106293740602,0.00779487431078,0.00354312468672,0.0024801872807,0.00106293740602,0.00106293740602,0.00354312468672,0.00106293740602,0.00106293740602,0.00106293740602,0.00106293740602,0.00106293740602,0.0,0.0,0.0
30,31,4.617334,-74.121506,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177156234336,0.129914571846,0.0590520781119,0.0413364546783,0.0177156234336,0.0177156234336,0.0590520781119,0.0177156234336,0.0177156234336,0.0177156234336,0.0177156234336,0.0177156234336,0.0,0.0,0.0
29,36,4.61099789725,-74.08308791,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236208312447,0.0173219429128,0.00787361041492,0.00551152729044,0.00236208312447,0.00236208312447,0.00787361041492,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.00236208312447,0.0,0.0,0.0
26,34,4.58492442784,-74.1009061919,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00760200449489,0.00405440239728,0.00354760209761,0.00253400149829,0.00253400149829,0.0101360059932,0.00506800299658,0.00405440239728,0.00405440239728,0.00354760209761,0.00354760209761,0.0,0.0
35,36,4.66860471322,-74.0804713063,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191447689288,0.0140394972144,0.00638158964292,0.00446711275006,0.00191447689288,0.00191447689288,0.00638158964292,0.00191447689288,0.00191447689288,0.00191447689288,0.00191447689288,0.00191447689288,0.0,0.0,0.0
34,39,4.653705,-74.05428,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00193799257957,0.00193799257957,0.00692140206989,0.00415284124194,0.00276856082796,0.00249170474516,0.00276856082796,0.00276856082796,0.00276856082796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,23,4.638885,-74.197199,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00227350500731,0.00227350500731,0.00811966074039,0.00487179644422,0.00324786429617,0.00292307786653,0.00324786429617,0.00324786429617,0.00324786429617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,34,4.59297096312,-74.094688319,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00144385564847,0.00144385564847,0.00515662731597,0.00309397638958,0.00206265092639,0.00185638583375,0.00206265092639,0.00206265092639,0.00206265092639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,24,4.617807,-74.189234,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131786031012,0.000966430894086,0.000439286770039,0.000307500739028,0.000131786031012,0.000131786031012,0.000439286770039,0.000131786031012,0.000131786031012,0.000131786031012,0.000131786031012,0.000131786031012,0.0,0.0,0.0
32,29,4.63967614322,-74.1411723498,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00688940911306,0.00688940911306,0.0246050325466,0.014763019528,0.00984201301864,0.00885781171678,0.00984201301864,0.00984201301864,0.00984201301864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,4.65114444444,-74.1002083333,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011857165264,0.00869525452694,0.00395238842133,0.00276667189494,0.0011857165264,0.0011857165264,0.00395238842133,0.0011857165264,0.0011857165264,0.0011857165264,0.0011857165264,0.0011857165264,0.0,0.0,0.0
28,37,4.60091616268,-74.0716379179,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181389781242,0.0133019172911,0.00604632604139,0.00423242822897,0.00181389781242,0.00181389781242,0.00604632604139,0.00181389781242,0.00181389781242,0.00181389781242,0.00181389781242,0.00181389781242,0.0,0.0,0.0
43,39,4.734187,-74.050146,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000421412085075,0.000421412085075,0.00150504316098,0.000903025896589,0.000602017264394,0.000541815537953,0.000602017264394,0.000602017264394,0.000602017264394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,39,4.654911,-74.054951,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174552197183,0.00128004944601,0.000581840657275,0.000407288460094,0.000174552197183,0.000174552197183,0.000581840657275,0.000174552197183,0.000174552197183,0.000174552197183,0.000174552197183,0.000174552197183,0.0,0.0,0.0
37,30,4.68395,-74.131816,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000268272945406,0.000196733493298,8.94243151356e-05,6.25970205947e-05,2.68272945406e-05,2.68272945406e-05,8.94243151356e-05,2.68272945406e-05,2.68272945406e-05,2.68272945406e-05,2.68272945406e-05,2.68272945406e-05,0.0,0.0,0.0
28,35,4.60752974533,-74.0927084258,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354312468672,0.0259829143692,0.0118104156224,0.00826729093567,0.00354312468672,0.00354312468672,0.0118104156224,0.00354312468672,0.00354312468672,0.00354312468672,0.00354312468672,0.00354312468672,0.0,0.0,0.0
45,34,4.755286,-74.102669,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00131786031012,0.000966430894086,0.000439286770039,0.000307500739028,0.000131786031012,0.000131786031012,0.000439286770039,0.000131786031012,0.000131786031012,0.000131786031012,0.000131786031012,0.000131786031012,0.0,0.0,0.0
42,35,4.72480427754,-74.0902088681,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118104156224,0.00866097145642,0.00393680520747,0.00275576364522,0.00118104156224,0.00118104156224,0.00393680520747,0.00118104156224,0.00118104156224,0.00118104156224,0.00118104156224,0.00118104156224,0.0,0.0,0.0
39,40,4.69790584595,-74.0467099883,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363981850514,0.000363981850514,0.00129993518041,0.000779961108244,0.000519974072164,0.000467976664947,0.000519974072164,0.000519974072164,0.000519974072164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,34,4.578205,-74.101181,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00482258637914,0.00482258637914,0.0172235227827,0.0103341136696,0.00688940911306,0.00620046820175,0.00688940911306,0.00688940911306,0.00688940911306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,35,4.731771,-74.089146,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166000313696,0.0166000313696,0.05928582632,0.0355714957919,0.023714330528,0.0213428974752,0.023714330528,0.023714330528,0.023714330528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,34,4.59403055556,-74.09855,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047360031095,0.0047360031095,0.0169142968196,0.0101485780918,0.00676571872783,0.00608914685506,0.00676571872783,0.00676571872783,0.00676571872783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,36,4.620779,-74.082199,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000341812024561,0.000341812024561,0.00122075723057,0.000732454338344,0.000488302892231,0.000439472603006,0.000488302892231,0.000488302892231,0.000488302892231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,4.651411,-74.054558,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165011469396,0.00121008410891,0.000550038231319,0.000385026761925,0.000165011469396,0.000165011469396,0.000550038231319,0.000165011469396,0.000165011469396,0.000165011469396,0.000165011469396,0.000165011469396,0.0,0.0,0.0
29,37,4.60878811978,-74.0724618509,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275576364522,0.00275576364522,0.00984201301867,0.00590520781119,0.00393680520747,0.00354312468672,0.00393680520747,0.00393680520747,0.00393680520747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,36,4.60296557439,-74.0849606692,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413364546783,0.00413364546783,0.014763019528,0.00885781171681,0.00590520781119,0.00531468703008,0.00590520781119,0.00590520781119,0.00590520781119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,40,4.75823,-74.047621,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000404720577106,0.000296795089878,0.000134906859035,9.44348013244e-05,4.04720577106e-05,4.04720577106e-05,0.000134906859035,4.04720577106e-05,4.04720577106e-05,4.04720577106e-05,4.04720577106e-05,4.04720577106e-05,0.0,0.0,0.0
36,38,4.67688333333,-74.0607361111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141652201987,0.000141652201987,0.000505900721381,0.000303540432828,0.000202360288552,0.000182124259697,0.000202360288552,0.000202360288552,0.000202360288552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,4.66851024812,-74.0813219206,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000227862815151,0.000227862815151,0.000813795768397,0.000488277461039,0.000325518307358,0.000292966476622,0.000325518307358,0.000325518307358,0.000325518307358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01347905628e-05,4.01347905628e-05,0.000143338537724,8.60031226347e-05,5.73354150897e-05,5.16018735808e-05,5.73354150897e-05,5.73354150897e-05,5.73354150897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,37,4.60717542086,-74.0733320163,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00413364546783,0.00413364546783,0.014763019528,0.00885781171681,0.00590520781119,0.00531468703008,0.00590520781119,0.00590520781119,0.00590520781119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,39,4.713477,-74.054032,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00468479819689,0.00468479819689,0.0167314221317,0.010038853279,0.00669256885269,0.00602331196742,0.00669256885269,0.00669256885269,0.00669256885269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,4.66602426573,-74.0777668622,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422184997097,0.0309602331206,0.0140728332366,0.00985098326561,0.00422184997097,0.00422184997097,0.0140728332366,0.00422184997097,0.00422184997097,0.00422184997097,0.00422184997097,0.00422184997097,0.0,0.0,0.0
43,33,4.73459166667,-74.11,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000168787270482,0.000168787270482,0.000602811680292,0.000361687008175,0.000241124672117,0.000217012204906,0.000241124672117,0.000241124672117,0.000241124672117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,39,4.675125,-74.0563694444,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000591267016267,0.000591267016267,0.00211166791524,0.00126700074914,0.000844667166097,0.000760200449486,0.000844667166097,0.000844667166097,0.000844667166097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612686820847,0.00449303668622,0.00204228940282,0.00142960258198,0.000612686820847,0.000612686820847,0.00204228940282,0.000612686820847,0.000612686820847,0.000612686820847,0.000612686820847,0.000612686820847,0.0,0.0,0.0
26,36,4.589513,-74.081031,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329832028983,0.0241876821255,0.0109944009661,0.00769608067631,0.00329832028983,0.00329832028983,0.0109944009661,0.00329832028983,0.00329832028983,0.00329832028983,0.00329832028983,0.00329832028983,0.0,0.0,0.0
24,35,4.56934166667,-74.0874833333,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442890585839,0.0324786429617,0.014763019528,0.0103341136696,0.00442890585839,0.00442890585839,0.014763019528,0.00442890585839,0.00442890585839,0.00442890585839,0.00442890585839,0.00442890585839,0.0,0.0,0.0
37,34,4.68663333333,-74.0969972222,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00326069485817,0.00239117622933,0.00108689828606,0.000760828800242,0.000326069485817,0.000326069485817,0.00108689828606,0.000326069485817,0.000326069485817,0.000326069485817,0.000326069485817,0.000326069485817,0.0,0.0,0.0
33,39,4.65127639268,-74.0556263487,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00593002783497,0.00593002783497,0.0211786708392,0.0127072025035,0.00847146833569,0.00762432150211,0.00847146833569,0.00847146833569,0.00847146833569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,34,4.67229722222,-74.0997361111,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004477141192,0.004477141192,0.0159897899714,0.00959387398286,0.00639591598858,0.00575632438972,0.00639591598858,0.00639591598858,0.00639591598858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,4.613062,-74.137682,PM25_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6519847015e-05,5.61145544778e-05,2.55066156717e-05,1.78546309702e-05,7.6519847015e-06,7.6519847015e-06,2.55066156717e-05,7.6519847015e-06,7.6519847015e-06,7.6519847015e-06,7.6519847015e-06,7.6519847015e-06,0.0,0.0,0.0
