ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C562,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.272237659,10.4663076166,4.75741255299,3.33018878709,1.4272237659,1.4272237659,4.75741255299,1.4272237659,1.4272237659,1.4272237659,1.4272237659,1.4272237659,0.0,0.0,0.0
C563,CHARBROILING,ALW,23,33,4.555199,-74.107463,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9779564944,32.2505014293,14.6593188315,10.261523182,4.39779564944,4.39779564944,14.6593188315,4.39779564944,4.39779564944,4.39779564944,4.39779564944,4.39779564944,0.0,0.0,0.0
C249,CHARBROILING,ALW,28,35,4.6054803789,-74.0909372347,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3402879576,16.1814869107,14.1588010469,10.1134293192,10.1134293192,40.4537172768,20.2268586384,16.1814869107,16.1814869107,14.1588010469,14.1588010469,0.0,0.0
C248,CHARBROILING,ALW,35,36,4.66842577464,-74.0797136427,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9414834554,36.9414834554,131.933869484,79.1603216901,52.7735477934,47.4961930141,52.7735477934,52.7735477934,52.7735477934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C566,CHARBROILING,ALW,39,35,4.698217,-74.093819,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0593004239,27.9101536442,12.6864334746,8.88050343224,3.80593004239,3.80593004239,12.6864334746,3.80593004239,3.80593004239,3.80593004239,3.80593004239,3.80593004239,0.0,0.0,0.0
C567,CHARBROILING,ALW,31,26,4.63409072147,-74.1698222292,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9262251636,49.0792317867,22.3087417212,15.6161192048,6.69262251636,6.69262251636,22.3087417212,6.69262251636,6.69262251636,6.69262251636,6.69262251636,6.69262251636,0.0,0.0,0.0
C564,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9326152331,15.3505845043,6.97753841104,4.88427688773,2.09326152331,2.09326152331,6.97753841104,2.09326152331,2.09326152331,2.09326152331,2.09326152331,2.09326152331,0.0,0.0,0.0
C565,CHARBROILING,ALW,22,33,4.54901388889,-74.1091,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4074938844,14.9654955152,6.80249796145,4.76174857302,2.04074938844,2.04074938844,6.80249796145,2.04074938844,2.04074938844,2.04074938844,2.04074938844,2.04074938844,0.0,0.0,0.0
C243,CHARBROILING,ALW,43,42,4.73726407239,-74.0232968736,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.472464437,10.472464437,37.4016587037,22.4409952222,14.9606634815,13.4645971333,14.9606634815,14.9606634815,14.9606634815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C242,CHARBROILING,ALW,33,29,4.64459166667,-74.1478833333,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7552159682,12.136115183,10.6191007852,7.5850719894,7.5850719894,30.3402879576,15.1701439788,12.136115183,12.136115183,10.6191007852,10.6191007852,0.0,0.0
C241,CHARBROILING,ALW,28,31,4.60476388889,-74.1292583333,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4789033882,23.8178624847,10.8263011294,7.57841079058,3.24789033882,3.24789033882,10.8263011294,3.24789033882,3.24789033882,3.24789033882,3.24789033882,3.24789033882,0.0,0.0,0.0
C240,CHARBROILING,ALW,46,39,4.765185,-74.050677,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1141466251,17.1141466251,61.1219522327,36.6731713396,24.4487808931,22.0039028038,24.4487808931,24.4487808931,24.4487808931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C247,CHARBROILING,ALW,27,36,4.59470833333,-74.080375,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7789287102,13.7789287102,49.2104596791,29.5262758075,19.6841838716,17.7157654845,19.6841838716,19.6841838716,19.6841838716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C246,WOOD,ALW,25,34,4.57897,-74.100491,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556511106235,0.556511106235,1.98753966512,1.19252379907,0.795015866049,0.715514279444,0.795015866049,0.795015866049,0.795015866049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C245,CHARBROILING,ALW,23,29,4.56237230738,-74.1398613854,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0124898073,24.9424925254,11.3374966024,7.93624762171,3.40124898073,3.40124898073,11.3374966024,3.40124898073,3.40124898073,3.40124898073,3.40124898073,3.40124898073,0.0,0.0,0.0
C244,CHARBROILING,ALW,30,28,4.61711111111,-74.153775,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8156895187,54.131505647,24.6052298396,17.2236608877,7.38156895187,7.38156895187,24.6052298396,7.38156895187,7.38156895187,7.38156895187,7.38156895187,7.38156895187,0.0,0.0,0.0
